difficulty,detector,nominal_alpha,achieved,streams_fired,n_streams,verdict
easy,e-process (Ville),0.1,0.0,0,15,held
easy,e-process (Ville),0.01,0.0,0,15,held
easy,e-process (Ville),0.001,0.0,0,15,held
easy,e-process (Ville),0.0001,0.0,0,15,held
easy,e-process (Ville),1e-05,0.0,0,15,held
easy,e-process (Ville),1e-06,0.0,0,15,held
easy,MDL-CUSUM (reset),0.1,0.0,0,15,held
easy,MDL-CUSUM (reset),0.01,0.0,0,15,held
easy,MDL-CUSUM (reset),0.001,0.0,0,15,held
easy,MDL-CUSUM (reset),0.0001,0.0,0,15,held
easy,MDL-CUSUM (reset),1e-05,0.0,0,15,held
easy,MDL-CUSUM (reset),1e-06,0.0,0,15,held
medium,e-process (Ville),0.1,0.0,0,15,held
medium,e-process (Ville),0.01,0.0,0,15,held
medium,e-process (Ville),0.001,0.0,0,15,held
medium,e-process (Ville),0.0001,0.0,0,15,held
medium,e-process (Ville),1e-05,0.0,0,15,held
medium,e-process (Ville),1e-06,0.0,0,15,held
medium,MDL-CUSUM (reset),0.1,0.4666666666666667,7,15,VIOLATED
medium,MDL-CUSUM (reset),0.01,0.0,0,15,held
medium,MDL-CUSUM (reset),0.001,0.0,0,15,held
medium,MDL-CUSUM (reset),0.0001,0.0,0,15,held
medium,MDL-CUSUM (reset),1e-05,0.0,0,15,held
medium,MDL-CUSUM (reset),1e-06,0.0,0,15,held
hard,e-process (Ville),0.1,0.0,0,15,held
hard,e-process (Ville),0.01,0.0,0,15,held
hard,e-process (Ville),0.001,0.0,0,15,held
hard,e-process (Ville),0.0001,0.0,0,15,held
hard,e-process (Ville),1e-05,0.0,0,15,held
hard,e-process (Ville),1e-06,0.0,0,15,held
hard,MDL-CUSUM (reset),0.1,0.0,0,15,held
hard,MDL-CUSUM (reset),0.01,0.0,0,15,held
hard,MDL-CUSUM (reset),0.001,0.0,0,15,held
hard,MDL-CUSUM (reset),0.0001,0.0,0,15,held
hard,MDL-CUSUM (reset),1e-05,0.0,0,15,held
hard,MDL-CUSUM (reset),1e-06,0.0,0,15,held
