difficulty,detector,tuned_value,mean_delay,power,fa_streams,n_null
easy,adaptive CUSUM,5,8.5,1.0,7,14
easy,variance CUSUM,5,43.0,0.5714285714285714,2,14
easy,KS sliding window,0.01,13.75,0.8571428571428571,2,14
easy,JS fingerprint [Bruckner],0.08,13.928571428571429,1.0,0,14
easy,MDL-CUSUM,0.01,48.857142857142854,1.0,0,14
easy,e-process (Ville),0.01,17.285714285714285,1.0,0,14
medium,adaptive CUSUM,6,40.142857142857146,0.5,4,14
medium,variance CUSUM,5,153.0,0.21428571428571427,0,14
medium,KS sliding window,0.01,52.333333333333336,0.21428571428571427,2,14
medium,JS fingerprint [Bruckner],0.08,11.285714285714286,1.0,12,14
medium,MDL-CUSUM,0.01,70.0,1.0,0,14
medium,e-process (Ville),0.01,29.642857142857142,1.0,0,14
hard,adaptive CUSUM,5,60.0,0.2857142857142857,8,14
hard,variance CUSUM,7,,0.0,0,14
hard,KS sliding window,0.01,123.25,0.2857142857142857,2,14
hard,JS fingerprint [Bruckner],0.08,,0.0,2,14
hard,MDL-CUSUM,0.01,,0.0,0,14
hard,e-process (Ville),0.01,,0.0,0,14
