difficulty,method,mean_delay,pct_of_oracle,detection_rate,mean_false_alarm_rate,streams_with_false_alarm,n_null_streams,oracle_delay_probes,lorden_worstcase_ref
easy,KS sliding window,13.75,1069.4,0.8571428571428571,0.001196034143580144,2,14,1.29,4.29
easy,energy distance [Leshin],68.57142857142857,5333.3,1.0,0.01020408163265306,1,14,1.29,4.29
easy,JS fingerprint [Bruckner],,,0.0,0.0,0,14,1.29,4.29
easy,MDL-CUSUM,95.3076923076923,7412.8,0.9285714285714286,0.0,0,14,1.29,4.29
easy,e-process (Ville),30.285714285714285,2355.6,1.0,0.0,0,14,1.29,4.29
easy,e-process conditional,66.21428571428571,5150.0,1.0,0.0,0,14,1.29,4.29
easy,adaptive CUSUM,8.5,661.1,1.0,0.0022026040990904294,7,14,1.29,4.29
easy,variance CUSUM,43.0,3344.4,0.5714285714285714,0.0006019261637239165,2,14,1.29,4.29
easy,fixed reference,20.0,1555.6,1.0,0.0037593984962406013,1,14,1.29,4.29
easy,oracle LR-CUSUM,1.2857142857142858,100.0,1.0,0.0,0,14,1.29,4.29
medium,KS sliding window,52.333333333333336,,0.21428571428571427,0.0017873816193143925,2,14,4.86,6.35
medium,energy distance [Leshin],77.14285714285714,1588.2,1.0,0.030612244897959183,3,14,4.86,6.35
medium,JS fingerprint [Bruckner],,,0.0,0.0,0,14,4.86,6.35
medium,MDL-CUSUM,118.41666666666667,2438.0,0.8571428571428571,0.0,0,14,4.86,6.35
medium,e-process (Ville),38.357142857142854,789.7,1.0,0.0,0,14,4.86,6.35
medium,e-process conditional,66.14285714285714,1361.8,1.0,0.0,0,14,4.86,6.35
medium,adaptive CUSUM,28.666666666666668,590.2,0.6428571428571429,0.0021953165115687545,9,14,4.86,6.35
medium,variance CUSUM,153.0,,0.21428571428571427,0.0,0,14,4.86,6.35
medium,fixed reference,22.857142857142858,470.6,1.0,0.018796992481203006,4,14,4.86,6.35
medium,oracle LR-CUSUM,4.857142857142857,100.0,1.0,0.0,0,14,4.86,6.35
hard,KS sliding window,123.25,,0.2857142857142857,0.0004047074469609681,2,14,106.0,60.58
hard,energy distance [Leshin],120.0,,0.2857142857142857,0.0510204081632653,4,14,106.0,60.58
hard,JS fingerprint [Bruckner],,,0.0,0.0,0,14,106.0,60.58
hard,MDL-CUSUM,,,0.0,0.0,0,14,106.0,60.58
hard,e-process (Ville),,,0.0,0.0,0,14,106.0,60.58
hard,e-process conditional,,,0.0,0.0,0,14,106.0,60.58
hard,adaptive CUSUM,60.0,,0.2857142857142857,0.0026061838735638365,8,14,106.0,60.58
hard,variance CUSUM,87.0,,0.14285714285714285,0.0009998444170838884,4,14,106.0,60.58
hard,fixed reference,80.0,,0.07142857142857142,0.0037593984962406013,1,14,106.0,60.58
hard,oracle LR-CUSUM,106.0,,0.21428571428571427,0.0003584877484450538,2,14,106.0,60.58
